symbol	sFH14_1	sFH14_2	sFH14_3	sFH14_4	sFH14_5	sFH14_6	sFH14_7	sFH14_8
ENSG00000006116	0	0	0	0	0	0	0	0
ENSG00000006118	115	6	1	6	0	0	0	0
ENSG00000006125	1804	59	7	38	17	11	14	33
ENSG00000006128	7	0	0	0	0	0	0	0
ENSG00000006194	323	45	2	2	0	13	8	0
ENSG00000006210	0	0	0	0	0	0	0	0
ENSG00000006282	101	4	0	0	0	1	0	0
ENSG00000006283	3	0	0	0	0	0	0	0
ENSG00000006327	315	1	10	39	0	24	5	3
ENSG00000006377	7	0	0	0	0	0	0	0
ENSG00000006432	4878	221	0	6	1	8	0	11
ENSG00000006451	2050	404	3	104	29	29	9	21
ENSG00000006453	524	15	31	45	8	0	7	42
ENSG00000006459	3614	240	4	18	1	4	14	14
ENSG00000006468	144	35	0	0	0	0	0	0
ENSG00000006530	436	45	40	60	26	26	4	5
ENSG00000006534	7	3	0	0	0	0	0	0
ENSG00000006555	0	0	0	0	0	0	0	0
ENSG00000006576	885	189	0	10	5	19	12	1
ENSG00000006606	0	0	0	0	0	0	0	0
ENSG00000006607	1025	82	2	44	3	0	17	9
ENSG00000006611	14	2	0	0	0	3	0	0
ENSG00000006625	6138	3055	0	52	26	52	35	13
ENSG00000006634	329	37	46	94	35	2	19	15
ENSG00000006638	9	0	0	0	0	0	0	0
ENSG00000006652	49	22	1	21	0	9	0	4
ENSG00000006659	0	0	0	0	0	0	0	0
ENSG00000006695	517	9	0	11	0	0	6	8
ENSG00000006704	65	5	1	4	0	11	0	2
ENSG00000006712	1931	558	12	141	77	51	33	0
ENSG00000006715	797	744	5	32	14	8	4	0
ENSG00000006740	218	158	0	0	3	0	0	0
ENSG00000006744	928	95	29	153	3	10	31	6
ENSG00000006747	3	7	0	0	0	0	0	0
ENSG00000006756	0	0	0	0	0	0	0	0
ENSG00000006757	21	0	0	3	0	0	0	0
ENSG00000006788	0	0	0	0	0	0	0	0
ENSG00000006831	1202	151	5	5	8	7	5	0
ENSG00000006837	31	0	0	4	0	0	0	0
ENSG00000007001	1	0	0	0	0	0	0	0
ENSG00000007038	0	0	0	0	0	0	0	0
ENSG00000007047	215	65	30	6	1	4	5	0
ENSG00000007062	4	0	0	0	0	0	0	0
ENSG00000007080	943	76	39	89	28	39	36	26
ENSG00000007129	0	0	0	0	0	0	0	0
ENSG00000007168	11178	1050	49	98	4	9	34	35
ENSG00000007171	4	0	0	0	0	0	0	11
ENSG00000007174	0	0	0	0	0	0	0	0
ENSG00000007202	1999	607	19	64	79	66	10	4
ENSG00000007216	0	0	0	0	0	0	0	0
ENSG00000007237	143	42	0	0	0	0	0	0
ENSG00000007255	29	0	0	0	9	2	0	0
ENSG00000007264	284	51	0	8	1	0	0	3
ENSG00000007306	0	0	0	0	0	0	0	0
ENSG00000007312	0	0	0	0	0	0	0	0
ENSG00000007314	8	2	0	0	0	0	1	0
ENSG00000007341	409	126	12	32	63	0	18	0
ENSG00000007350	2	1	0	0	0	0	0	0
ENSG00000007372	313	55	0	45	5	14	10	5
ENSG00000007376	265	16	3	16	3	8	0	0
ENSG00000007384	14	25	3	0	0	0	0	0
ENSG00000007392	4253	2802	7	78	60	74	31	17
ENSG00000007402	29	0	0	0	0	1	0	0
ENSG00000007516	3	0	0	0	0	0	0	0
ENSG00000007520	2465	2278	0	31	26	31	11	1
ENSG00000007541	197	18	0	4	0	0	0	0
ENSG00000007545	1712	101	0	8	1	41	0	0
ENSG00000007866	39	3	0	0	0	0	0	0
ENSG00000007908	0	0	0	0	0	0	0	0
ENSG00000007923	1564	278	4	93	20	77	41	8
ENSG00000007933	0	0	0	0	0	0	0	0
ENSG00000007944	318	61	2	0	0	1	0	12
ENSG00000007952	0	0	0	0	0	0	0	0
ENSG00000007968	765	56	0	12	0	4	7	17
ENSG00000008018	3604	1340	46	152	27	78	18	15
ENSG00000008056	14	0	0	0	0	0	2	5
ENSG00000008083	1362	72	0	5	9	36	17	3
ENSG00000008086	680	5	0	0	0	0	0	0
ENSG00000008118	0	0	0	0	0	0	0	0
ENSG00000008128	241	38	2	21	32	1	0	0
ENSG00000008130	4173	285	0	51	4	38	5	12
ENSG00000008196	0	0	0	0	0	0	0	0
ENSG00000008197	0	0	0	0	0	0	0	0
ENSG00000008226	1	0	0	0	0	0	0	0
ENSG00000008256	1507	159	0	6	15	6	2	15
ENSG00000008277	396	60	0	0	0	4	0	0
ENSG00000008282	620	71	0	20	2	5	0	0
ENSG00000008283	497	84	0	1	0	0	12	0
ENSG00000008294	3984	786	35	191	95	37	38	21
ENSG00000008300	157	7	10	9	0	3	2	0
ENSG00000008311	197	47	4	7	6	20	0	0
ENSG00000008323	0	0	0	0	0	0	0	0
ENSG00000008324	129	6	2	11	6	12	0	0
ENSG00000008382	128	23	0	3	5	1	15	3
ENSG00000008394	35	1	0	0	0	0	0	0
ENSG00000008405	234	60	0	24	0	20	0	0
ENSG00000008438	0	0	0	0	0	0	0	0
ENSG00000008441	1812	213	5	8	1	7	0	11
ENSG00000008513	134	4	0	9	0	0	0	0
ENSG00000008516	3	0	0	0	0	0	0	0
ENSG00000008517	0	0	0	0	0	0	0	0
ENSG00000008710	41	0	13	2	0	12	0	0
ENSG00000008735	238	0	3	8	0	10	0	0
ENSG00000008838	242	15	24	11	6	15	3	0
ENSG00000008853	298	104	0	25	0	0	0	0
ENSG00000008869	348	140	27	33	0	0	0	8
ENSG00000008952	3035	453	105	309	129	102	89	42
ENSG00000008988	15969	1508	224	662	123	281	215	229
ENSG00000009307	88977	28923	197	986	261	348	284	184
ENSG00000009335	4963	582	48	176	81	55	58	37
ENSG00000009413	1307	135	2	46	5	11	2	0
ENSG00000009694	201	23	0	0	0	0	0	0
ENSG00000009709	5	0	0	0	0	0	0	0
ENSG00000009724	75	3	0	0	0	0	0	0
ENSG00000009765	0	0	0	0	0	0	0	0
ENSG00000009780	486	329	27	26	0	9	28	10
ENSG00000009790	6	2	0	1	0	0	18	0
ENSG00000009830	592	154	0	5	0	3	11	1
ENSG00000009844	4319	835	17	51	17	27	2	4
ENSG00000009950	17	0	0	0	0	0	0	0
ENSG00000009954	4375	1043	115	230	122	183	62	17
ENSG00000010017	624	108	0	55	6	11	13	11
ENSG00000010030	0	0	0	0	0	0	0	0
ENSG00000010072	1678	249	33	94	12	22	15	0
ENSG00000010165	598	921	1	16	15	19	9	0
ENSG00000010219	60	22	1	0	2	1	11	0
ENSG00000010244	1345	204	48	54	35	10	16	13
ENSG00000010256	2560	1628	76	285	25	68	80	81
ENSG00000010270	1985	1996	2	15	0	9	8	1
ENSG00000010278	73	19	8	35	1	19	5	5
ENSG00000010282	0	0	0	0	0	0	0	0
ENSG00000010292	1385	48	109	92	34	12	5	0
ENSG00000010295	712	1293	36	9	0	2	4	31
ENSG00000010310	15	20	0	0	0	0	0	0
ENSG00000010318	186	11	0	0	0	0	8	0
ENSG00000010319	125	9	0	8	0	3	0	0
ENSG00000010322	511	166	10	45	16	29	0	0
ENSG00000010327	0	0	0	0	0	0	0	0
ENSG00000010361	116	0	16	9	30	2	0	15
ENSG00000010379	3	0	0	0	0	0	0	0
ENSG00000010404	256	0	0	8	15	1	3	9
ENSG00000010438	0	0	0	0	0	0	0	0
ENSG00000010539	210	30	15	5	0	12	0	0
ENSG00000010610	0	0	0	0	0	0	0	0
ENSG00000010626	38	0	0	0	0	0	0	0
ENSG00000010671	0	0	0	0	0	1	0	0
ENSG00000010704	0	0	0	0	0	0	0	0
ENSG00000010803	249	24	7	24	24	4	1	1
ENSG00000010810	1075	240	15	21	14	41	19	34
ENSG00000010818	1054	42	20	25	6	79	18	0
ENSG00000010932	0	0	0	0	0	0	0	0
ENSG00000011007	3441	2625	65	88	37	29	21	7
ENSG00000011009	222	16	0	0	7	14	2	2
ENSG00000011021	261	0	7	31	1	0	6	0
ENSG00000011028	34	5	0	0	0	0	0	0
ENSG00000011052	22	5	0	10	0	2	0	0
ENSG00000011083	0	0	0	0	0	0	0	0
ENSG00000011105	208	20	0	1	0	0	8	0
ENSG00000011114	6164	1930	15	21	3	10	54	0
ENSG00000011132	15	0	0	0	0	0	0	0
ENSG00000011143	407	0	16	16	5	0	0	0
ENSG00000011198	442	161	27	12	0	0	0	5
ENSG00000011201	0	0	0	0	0	0	0	0
ENSG00000011243	1674	4080	31	92	11	55	9	47
ENSG00000011258	2490	51	4	13	0	2	16	0
ENSG00000011260	1914	18913	21	124	21	46	14	1
ENSG00000011275	1056	82	4	27	3	15	6	18
ENSG00000011295	3476	3601	4	61	14	46	26	0
ENSG00000011304	1897	34	21	100	36	106	10	56
ENSG00000011332	969	23	1	25	0	21	0	0
ENSG00000011347	136	5	0	0	0	1	0	0
ENSG00000011376	552	99	20	23	43	21	15	9
ENSG00000011405	794	125	9	70	24	38	5	28
ENSG00000011422	29	11	0	0	0	0	0	0
ENSG00000011426	1280	111	36	56	33	46	27	129
ENSG00000011451	608	67	2	38	23	0	0	7
ENSG00000011454	810	156	4	64	11	13	7	0
ENSG00000011465	0	0	0	8	0	0	0	0
ENSG00000011478	16	0	0	0	0	0	4	0
ENSG00000011485	1023	79	82	100	45	55	40	34
ENSG00000011523	245	1	17	14	0	9	0	20
ENSG00000011566	154	22	6	56	1	19	3	13
ENSG00000011590	8	0	0	0	0	0	0	0
ENSG00000011600	0	0	0	0	0	0	0	0
ENSG00000011638	39	30	0	2	0	0	3	0
ENSG00000011677	0	0	0	0	0	0	0	0
ENSG00000012048	3781	791	9	52	6	18	30	22
ENSG00000012061	225	2	0	30	20	6	4	0
ENSG00000012124	0	1	0	0	0	0	0	0
ENSG00000012171	4	0	0	2	0	0	0	0
ENSG00000012174	593	16	0	1	28	12	0	9
ENSG00000012211	36	7	6	5	0	0	0	0
ENSG00000012223	0	0	0	0	0	0	0	0
ENSG00000012232	1366	86	0	9	9	0	5	0
ENSG00000012504	0	0	0	0	0	0	0	0
ENSG00000012660	1016	73	27	138	48	12	12	9
ENSG00000012779	6	3	0	0	0	0	0	0
ENSG00000012817	0	0	0	0	0	0	0	0
ENSG00000012822	230	50	0	15	2	17	23	14
ENSG00000012963	2350	1108	13	16	28	40	0	0
ENSG00000012983	660	91	1	35	1	37	11	5
ENSG00000013016	81	7	25	12	9	25	18	33
ENSG00000013275	294	42	6	114	31	40	35	27
ENSG00000013288	53	0	1	0	11	0	21	0
ENSG00000013293	0	0	0	0	0	0	0	0
ENSG00000013297	0	0	0	0	0	0	0	0
ENSG00000013306	755	101	15	42	1	10	9	4
ENSG00000013364	20	16	0	0	0	7	0	0
ENSG00000013374	1843	291	16	47	18	31	17	12
ENSG00000013375	489	319	0	42	3	7	7	6
ENSG00000013392	107	0	0	0	0	5	0	3
ENSG00000013441	2915	155	68	84	61	73	5	20
ENSG00000013503	408	196	0	45	3	0	1	0
ENSG00000013523	303	32	2	9	0	1	0	0
ENSG00000013561	5601	1901	33	41	4	24	15	11
ENSG00000013563	312	20	0	8	0	0	0	0
ENSG00000013573	725	285	0	45	20	4	2	0
ENSG00000013583	79	4	0	5	0	9	0	2
ENSG00000013588	41	0	0	0	0	0	0	0
ENSG00000013619	154	0	0	2	0	1	0	4
ENSG00000013725	0	0	0	0	0	0	0	0
ENSG00000013810	352	83	69	72	78	40	12	27
ENSG00000014123	1034	124	40	67	0	45	19	20
ENSG00000014138	157	16	0	8	0	0	0	0
ENSG00000014164	71	5	0	12	6	0	0	0
ENSG00000014216	157	8	0	25	24	16	16	5
ENSG00000014257	2	0	0	0	0	0	0	0
ENSG00000014641	1347	385	4	85	37	34	4	50
ENSG00000014824	3851	385	35	81	41	40	17	33
ENSG00000014914	2	0	0	0	0	0	0	0
ENSG00000014919	1001	73	0	34	9	0	7	0
ENSG00000015133	280	177	11	11	25	4	6	2
ENSG00000015153	383	87	0	29	5	41	0	0
ENSG00000015171	2499	1865	1	53	25	39	15	34
ENSG00000015285	0	0	0	27	0	0	0	2
ENSG00000015413	2	0	0	0	0	0	0	0
ENSG00000015475	381	13	0	15	12	2	7	0
ENSG00000015479	327	67	13	79	40	3	2	0
ENSG00000015520	0	0	0	0	0	0	0	0
ENSG00000015532	141	4	0	23	0	5	5	0
ENSG00000015568	6	7	0	0	0	0	0	0
ENSG00000015592	0	0	0	0	0	0	0	0
ENSG00000015676	2345	200	9	108	26	27	5	32
ENSG00000016082	149	7	5	0	0	8	0	0
ENSG00000016391	76	1	0	15	6	0	0	0
ENSG00000016402	0	0	0	0	0	0	0	0
ENSG00000016490	0	0	0	0	0	0	0	0
ENSG00000016602	0	0	0	0	0	0	0	0
ENSG00000016864	187	20	21	26	10	4	7	15
ENSG00000017260	2213	886	0	4	27	26	2	0
ENSG00000017427	0	0	0	0	0	0	0	0
ENSG00000017483	0	0	0	0	0	0	0	0
ENSG00000017797	5125	9617	45	63	70	42	55	17
ENSG00000018189	626	166	0	0	8	20	13	0
ENSG00000018236	108	32	0	0	4	7	0	0
ENSG00000018280	12	0	1	0	0	0	0	0
ENSG00000018408	859	80	0	36	22	6	18	0
ENSG00000018510	2888	273	25	67	16	37	6	8
ENSG00000018607	0	0	0	0	0	0	0	0
ENSG00000018610	2530	866	36	87	41	22	32	22
ENSG00000018625	0	0	0	0	0	0	0	7
ENSG00000018699	606	53	0	32	10	1	0	0
ENSG00000018869	54	14	0	0	0	0	0	0
ENSG00000019102	0	0	0	0	0	0	0	0
ENSG00000019144	109	18	1	0	0	0	0	0
ENSG00000019169	0	0	0	0	0	0	0	0
ENSG00000019186	0	0	0	0	0	0	0	0
ENSG00000019485	220	31	0	10	0	1	0	0
ENSG00000019505	5	0	0	1	0	0	0	0
ENSG00000019549	215	11	39	38	58	5	25	13
ENSG00000019582	2	0	0	0	0	1	0	0
ENSG00000019991	0	0	0	0	0	0	0	0
ENSG00000019995	2388	887	2	85	5	0	5	9
ENSG00000020129	213	29	0	43	0	3	0	0
ENSG00000020181	34	0	0	0	0	6	0	0
ENSG00000020219	2	0	0	0	0	0	0	0
ENSG00000020256	262	16	4	11	45	6	2	0
ENSG00000020426	715	221	38	76	0	36	16	21
ENSG00000020577	712	79	2	24	6	2	9	5
ENSG00000020633	313	30	0	0	0	0	0	0
ENSG00000020922	2614	697	22	112	30	14	2	36
ENSG00000021300	71	6	0	5	0	0	0	0
ENSG00000021355	104	16	0	12	0	0	0	0
ENSG00000021461	0	0	0	0	0	0	0	0
ENSG00000021488	3	0	0	0	0	0	0	0
ENSG00000021574	1308	413	12	56	21	7	1	16
ENSG00000021645	72	0	0	0	0	2	0	5
ENSG00000021762	68	34	0	2	0	0	3	0
ENSG00000021776	559	85	3	11	2	1	7	14
ENSG00000021826	243	70	0	4	24	7	0	0
ENSG00000021852	0	0	0	0	0	0	0	0
ENSG00000022267	604	44	45	55	14	17	48	10
ENSG00000022277	1339	1251	19	27	8	10	5	1
ENSG00000022355	0	0	0	0	0	0	0	0
ENSG00000022556	0	0	0	0	0	0	0	0
ENSG00000022567	803	92	3	1	16	3	0	0
ENSG00000022840	1831	334	34	47	74	73	73	117
ENSG00000022976	129	22	5	8	0	0	0	0
ENSG00000023041	796	98	0	17	7	1	8	6
ENSG00000023171	246	206	2	14	14	1	0	0
ENSG00000023191	172	6	3	27	19	19	0	0
ENSG00000023228	2852	1300	32	53	2	3	11	0
ENSG00000023287	3162	404	32	105	18	31	33	46
ENSG00000023318	507	57	7	9	7	8	0	0
ENSG00000023330	1212	32	0	17	14	15	11	45
ENSG00000023445	6	0	0	0	21	0	3	7
ENSG00000023516	1214	908	0	39	15	24	4	0
ENSG00000023572	818	254	14	2	11	0	0	0
ENSG00000023608	307	42	63	52	21	8	36	4
ENSG00000023697	625	126	0	37	45	0	0	4
ENSG00000023734	7873	7701	75	136	29	73	18	37
ENSG00000023839	12	0	0	0	0	0	0	0
ENSG00000023892	32	62	0	0	0	9	0	0
ENSG00000023902	560	72	11	34	24	6	12	14
ENSG00000023909	64	2	1	11	13	27	3	8
ENSG00000024048	1031	259	0	39	5	24	4	1
ENSG00000024422	11	0	0	0	0	0	0	0
ENSG00000024526	1156	61	0	54	75	32	24	22
ENSG00000024862	1690	295	11	33	17	11	10	6
ENSG00000025039	2373	308	0	16	2	7	7	13
ENSG00000025156	1844	72	6	133	22	47	25	20
ENSG00000025293	4667	433	24	36	3	3	13	10
ENSG00000025423	88	70	0	4	0	0	0	0
ENSG00000025434	38	6	0	11	0	0	0	17
ENSG00000025708	13	0	0	0	0	0	0	0
ENSG00000025770	655	377	23	2	20	26	1	3
ENSG00000025772	551	47	61	58	23	2	21	10
ENSG00000025796	2468	580	17	84	24	46	34	8
ENSG00000025800	3660	160	9	53	0	7	8	35
ENSG00000026025	1983	135	42	174	64	128	32	82
ENSG00000026036	14	0	0	0	0	0	0	0
ENSG00000026103	40	0	0	6	0	3	0	0
ENSG00000026297	450	342	1	2	0	0	0	0
ENSG00000026508	1	4	0	3	1	2	0	1
ENSG00000026559	45	6	1	1	0	0	1	0
ENSG00000026652	118	21	0	0	0	0	0	0
ENSG00000026751	1	0	0	0	0	0	0	0
ENSG00000026950	19	1	0	0	0	0	0	0
ENSG00000027001	224	917	0	26	0	0	14	0
ENSG00000027075	76	13	0	0	0	0	0	0
ENSG00000027644	0	0	0	0	0	0	0	0
ENSG00000027697	691	84	11	31	1	61	0	6
ENSG00000027847	148	5	4	0	0	13	3	0
ENSG00000027869	5	1	0	3	0	8	0	0
ENSG00000028116	332	39	2	6	0	3	0	7
ENSG00000028137	2	0	0	0	0	0	0	0
ENSG00000028203	655	136	8	70	12	12	12	11
ENSG00000028277	7	0	0	1	0	0	0	0
ENSG00000028310	8664	5673	29	81	47	24	16	9
ENSG00000028528	807	297	13	32	0	31	5	3
ENSG00000028839	525	53	15	64	18	31	10	0
ENSG00000029153	925	72	0	22	18	6	8	12
ENSG00000029363	10297	772	196	512	170	229	127	78
ENSG00000029364	1001	53	0	32	5	13	20	1
ENSG00000029534	57	0	7	0	3	2	0	0
ENSG00000029559	0	0	0	0	0	0	0	0
ENSG00000029639	650	100	0	5	4	0	3	1
ENSG00000029725	18856	3054	31	428	114	150	118	88
ENSG00000029993	30987	11212	82	524	158	188	125	52
ENSG00000030066	1339	594	20	64	10	13	37	9
ENSG00000030110	228	0	0	4	12	0	0	0
ENSG00000030304	2	0	0	0	0	0	0	0
ENSG00000030419	172	10	0	0	12	0	1	0
ENSG00000030582	169	19	1	4	19	0	3	0
ENSG00000031003	1644	436	30	87	16	18	23	20
ENSG00000031081	59	0	11	3	20	0	11	0
ENSG00000031691	103	1	0	12	4	27	21	0
ENSG00000031698	3670	1988	27	231	89	53	70	41
ENSG00000031823	288	45	18	51	35	20	8	0
ENSG00000032219	417	338	10	77	6	25	0	18
ENSG00000032389	134	28	0	7	0	6	7	0
ENSG00000032444	73	9	0	1	0	3	2	0
ENSG00000032742	89	18	0	7	0	0	0	1
ENSG00000033011	247	81	1	0	0	0	0	0
ENSG00000033030	70	16	5	45	12	18	2	1
ENSG00000033050	1054	483	12	56	11	1	5	7
ENSG00000033100	154	9	2	2	1	5	0	0
ENSG00000033122	1	0	0	0	0	0	0	0
ENSG00000033170	483	54	17	7	23	4	3	8
ENSG00000033178	434	90	2	23	17	49	18	0
ENSG00000033327	405	215	10	10	0	0	3	3
ENSG00000033627	3321	1103	9	36	17	0	0	6
ENSG00000033800	2475	49	29	94	11	19	38	34
ENSG00000033867	1155	146	0	9	0	4	2	1
ENSG00000034053	236	92	5	29	0	1	0	0
ENSG00000034152	141	13	0	7	17	14	3	4
ENSG00000034239	0	0	0	0	0	0	0	0
ENSG00000034510	246	24	24	43	38	53	67	37
ENSG00000034533	73	3	1	0	0	3	0	0
ENSG00000034677	715	241	6	13	1	9	9	18
ENSG00000034693	179	0	11	16	8	4	1	9
ENSG00000034713	794	162	20	100	5	61	24	60
ENSG00000034971	0	0	0	1	0	0	0	0
ENSG00000035115	229	8	0	0	0	0	0	0
ENSG00000035141	3511	3419	53	222	11	70	32	61
ENSG00000035403	620	107	11	129	29	58	15	57
ENSG00000035499	221	27	1	2	14	4	14	0
ENSG00000035664	12	0	0	0	0	0	0	0
ENSG00000035681	511	53	0	5	10	0	26	0
ENSG00000035687	614	358	0	58	5	0	6	43
ENSG00000035720	4	0	0	0	0	0	0	0
ENSG00000035862	200	44	1	0	9	0	0	0
ENSG00000035928	4978	344	26	81	18	10	2	23
ENSG00000036054	261	40	42	39	8	9	0	6
ENSG00000036257	5705	990	10	96	16	61	54	6
ENSG00000036448	73	31	0	1	0	0	4	0
ENSG00000036473	1	0	0	0	0	0	0	0
ENSG00000036530	8	0	0	0	0	0	0	0
ENSG00000036549	7918	786	9	130	37	40	45	1
ENSG00000036565	0	0	0	0	0	0	0	0
ENSG00000036672	74	0	0	10	0	0	0	0
ENSG00000036828	0	0	0	0	0	0	0	0
ENSG00000037042	12	2	0	0	3	0	0	0
ENSG00000037241	3455	167	173	540	109	166	78	66
ENSG00000037280	175	2	19	2	22	7	0	0
ENSG00000037474	689	339	14	59	16	46	39	17
ENSG00000037637	410	169	8	39	10	0	0	0
ENSG00000037749	1316	27	14	4	0	17	0	0
ENSG00000037757	49	0	0	23	0	9	1	0
ENSG00000037897	45	2	0	18	0	4	0	13
ENSG00000037965	116	0	0	0	0	0	0	0
ENSG00000038002	63	10	0	9	2	1	1	0
ENSG00000038210	294	151	0	20	0	23	0	1
ENSG00000038219	3029	1372	21	65	37	99	46	14
