Plate,Input,description,Sample,Biological Set Name,SQ Mean,SQ Std. Dev,data_file,color,frac_remaining,frac_remaining_std
Plate 1,Spike-in mRNA,Spike-in,Well 5,SpikeIn,30209.20258,2431.882234,admin_2022-02-26 15-17-09_CT018863_RPA_mCh_Spike,#969696,1,0.080501371
Plate 1,Spike-in mRNA,Spike-in +Detergent,Well 6,SpikeIn,34735.98898,8282.963859,admin_2022-02-26 15-17-09_CT018863_RPA_mCh_Spike,#969696,1.149847928,0.274186776
Plate 1,Spike-in mRNA,Spike-in +RNase,Well 7,SpikeIn,90.06670242,14.94135657,admin_2022-02-26 15-17-09_CT018863_RPA_mCh_Spike,#969696,0.002981433,0.000494596
Plate 1,Spike-in mRNA,Spike-in +RNase +Detergent,Well 8,SpikeIn,69.61223318,14.81912478,admin_2022-02-26 15-17-09_CT018863_RPA_mCh_Spike,#969696,0.002304339,0.00049055
Plate 1,GagMCP,GagMCP,Well 1,GagMCP,2612.765677,441.1503435,admin_2022-03-03 18-08-31_CT018863_RPA_GagMCP_Gag_mCh,#9e9ac8,1,0.168844205
Plate 1,GagMCP,GagMCP +Detergent,Well 2,GagMCP,3739.551948,326.6971568,admin_2022-03-03 18-08-31_CT018863_RPA_GagMCP_Gag_mCh,#9e9ac8,1.431261893,0.125038828
Plate 1,GagMCP,GagMCP +RNase,Well 3,GagMCP,2800.64662,691.009216,admin_2022-03-03 18-08-31_CT018863_RPA_GagMCP_Gag_mCh,#9e9ac8,1.071908838,0.26447424
Plate 2,GagMCP,GagMCP +RNase +Detergent,Well 4,GagMCP,140.2727874,30.15611574,admin_2022-03-03 18-08-31_CT018863_RPA_GagMCP_Gag_mCh,#9e9ac8,0.053687473,0.011541837
Plate 2,Gag,Gag,Well 5,Gag,5338.479705,1156.076182,admin_2022-03-03 18-08-31_CT018863_RPA_GagMCP_Gag_mCh,#31a354,1,0.21655532
Plate 2,Gag,Gag +Detergent,Well 6,Gag,6651.186705,1784.099764,admin_2022-03-03 18-08-31_CT018863_RPA_GagMCP_Gag_mCh,#31a354,1.245895287,0.334196225
Plate 2,Gag,Gag +RNase,Well 7,Gag,8063.352282,1246.878903,admin_2022-03-03 18-08-31_CT018863_RPA_GagMCP_Gag_mCh,#31a354,1.51042108,0.233564418
Plate 2,Gag,Gag +RNase +Detergent,Well 8,Gag,2133.913686,245.9684599,admin_2022-03-03 18-08-31_CT018863_RPA_GagMCP_Gag_mCh,#31a354,0.399723105,0.046074627
Plate 3,GagZipMCP,GagZipMCP,Well 9,GagZipMCP,3101.163284,53.37265251,admin_2022-03-12 16-22-22_CT018863_RPA_GagZipMCP_EPN24MCP_Death_mCh -  Quantification Cq Results,#756bb1,1,0.017210526
Plate 3,GagZipMCP,GagZipMCP +Detergent,Well 10,GagZipMCP,1247.572501,211.6460311,admin_2022-03-12 16-22-22_CT018863_RPA_GagZipMCP_EPN24MCP_Death_mCh -  Quantification Cq Results,#756bb1,0.402291781,0.068247303
Plate 3,GagZipMCP,GagZipMCP +RNase,Well 11,GagZipMCP,1951.616694,319.2279611,admin_2022-03-12 16-22-22_CT018863_RPA_GagZipMCP_EPN24MCP_Death_mCh -  Quantification Cq Results,#756bb1,0.629317619,0.102938134
Plate 3,GagZipMCP,GagZipMCP +RNase +Detergent,Well 12,GagZipMCP,13.15723952,2.685242804,admin_2022-03-12 16-22-22_CT018863_RPA_GagZipMCP_EPN24MCP_Death_mCh -  Quantification Cq Results,#756bb1,0.004242679,0.000865882
Plate 3,EPN24MCP,EPN24MCP,Well 9,EPN24MCP,14633.70327,1053.617799,admin_2022-03-12 16-22-22_CT018863_RPA_GagZipMCP_EPN24MCP_Death_mCh -  Quantification Cq Results,#54278f,1,0.071999396
Plate 3,EPN24MCP,EPN24MCP +Detergent,Well 10,EPN24MCP,3449.673274,1279.633076,admin_2022-03-12 16-22-22_CT018863_RPA_GagZipMCP_EPN24MCP_Death_mCh -  Quantification Cq Results,#54278f,0.235734811,0.087444241
Plate 3,EPN24MCP,EPN24MCP +RNase,Well 11,EPN24MCP,15719.70809,1666.093169,admin_2022-03-12 16-22-22_CT018863_RPA_GagZipMCP_EPN24MCP_Death_mCh -  Quantification Cq Results,#54278f,1.074212576,0.113853147
Plate 3,EPN24MCP,EPN24MCP +RNase +Detergent,Well 12,EPN24MCP,44.40434018,5.75628235,admin_2022-03-12 16-22-22_CT018863_RPA_GagZipMCP_EPN24MCP_Death_mCh -  Quantification Cq Results,#54278f,0.003034388,0.000393358
