,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,mCherry,Unkn-01,Well 1,Supernatant,33.6891734073684,33.7833095009082,1.62426802925805,490.4516518506,2.69059620158466,576.064276113347,424.196139490332,67,
,A02,SYBR,mCherry,Unkn-02,Well 2,Supernatant,32.5404457970918,32.0537658940596,0.43278397460339,876.331792805277,2.94266856792901,1137.9838728515,235.180080254383,67,
,A03,SYBR,mCherry,Unkn-03,Well 3,Supernatant,33.080781334488,32.6029992892387,0.615835553050819,666.959429315959,2.82409941688493,878.019543684106,288.139762350979,67,
,A04,SYBR,mCherry,Unkn-04,Well 4,Supernatant,NaN,0,0,NaN,NaN,0,0,67,
,A05,SYBR,mCherry,Unkn-05,Well 5,Supernatant,32.2842711744975,32.1845948765297,0.466571111044012,997.430263735284,2.99888254131751,1068.94214286104,258.962363387583,67,
,A06,SYBR,mCherry,Unkn-06,Well 6,Supernatant,34.0649636367272,33.4398970412612,0.700017079112604,405.63389687525,2.60813423974433,580.474402650181,211.2580911665,67,
,A07,SYBR,mCherry,Unkn-07,Well 7,Supernatant,33.0941738216199,32.1726048519587,0.945458012804132,662.461465548851,2.82116062104474,1138.09180057682,537.221831943563,67,
,A08,SYBR,mCherry,Unkn-08,Well 8,Supernatant,34.5187818552014,33.5967785395199,0.827964815200313,322.515147030707,2.50855011623447,542.609382904177,203.725626322598,67,
,A09,SYBR,mCherry,Unkn-09,Well 9,Supernatant,NaN,0,0,NaN,NaN,0,0,67,
,A10,SYBR,mCherry,Unkn-10,Well 10,Supernatant,34.3471507545584,33.5956907996771,0.650783741678628,351.732245387166,2.54621218450056,531.689335596528,155.847548013525,67,
,A11,SYBR,mCherry,Unkn-11,Well 11,Supernatant,27.0611847753074,26.6949923029753,0.322503221245413,13964.2148336273,4.1450165216332,16947.5009587034,2640.65185774356,67,
,A12,SYBR,mCherry,Unkn-12,Well 12,Supernatant,32.5019741908393,33.1202873802394,0.599741748414531,893.533067155785,2.95111062916126,674.141569086858,204.843104988798,67,
,B01,SYBR,mCherry,Unkn-01,Well 1,Supernatant,35.4525983796826,33.7833095009082,1.62426802925805,201.20418585684,2.30363701155098,576.064276113347,424.196139490332,67,
,B02,SYBR,mCherry,Unkn-02,Well 2,Supernatant,31.9087060151008,32.0537658940596,0.43278397460339,1205.85507267886,3.08129511467144,1137.9838728515,235.180080254383,67,
,B03,SYBR,mCherry,Unkn-03,Well 3,Supernatant,31.9079869380956,32.6029992892387,0.615835553050819,1206.29327359505,3.08145290616238,878.019543684106,288.139762350979,67,
,B04,SYBR,mCherry,Unkn-04,Well 4,Supernatant,34.1361106043697,34.6413452630472,0.714509706482629,391.310969889995,2.59252202294774,313.079933327511,110.63539290517,67,
,B05,SYBR,mCherry,Unkn-05,Well 5,Supernatant,32.5932728977933,32.1845948765297,0.466571111044012,853.250187206624,2.93107639223669,1068.94214286104,258.962363387583,67,
,B06,SYBR,mCherry,Unkn-06,Well 6,Supernatant,32.6835251191682,33.4398970412612,0.700017079112604,815.214305410255,2.91127179208059,580.474402650181,211.2580911665,67,
,B07,SYBR,mCherry,Unkn-07,Well 7,Supernatant,32.2186969098814,32.1726048519587,0.945458012804132,1031.03143254548,3.01327190560647,1138.09180057682,537.221831943563,67,
,B08,SYBR,mCherry,Unkn-08,Well 8,Supernatant,32.9167833895068,33.5967785395199,0.827964815200313,724.580254371927,2.86008649484597,542.609382904177,203.725626322598,67,
,B09,SYBR,mCherry,Unkn-09,Well 9,Supernatant,33.0940486303271,33.5046794497217,0.580719673916343,662.503371176406,2.8211880925403,549.999439889989,159.104585445541,67,
,B10,SYBR,mCherry,Unkn-10,Well 10,Supernatant,33.2193046282109,33.5956907996771,0.650783741678628,621.873998052501,2.79370239836619,531.689335596528,155.847548013525,67,
,B11,SYBR,mCherry,Unkn-11,Well 11,Supernatant,26.5705103365663,26.6949923029753,0.322503221245413,17893.2089007821,4.25268823229085,16947.5009587034,2640.65185774356,67,
,B12,SYBR,mCherry,Unkn-12,Well 12,Supernatant,33.1593388756692,33.1202873802394,0.599741748414531,641.004461581329,2.80686105234785,674.141569086858,204.843104988798,67,
,C01,SYBR,mCherry,Unkn-01,Well 1,Supernatant,32.2081567156734,33.7833095009082,1.62426802925805,1036.5369906326,3.01558480526342,576.064276113347,424.196139490332,67,
,C02,SYBR,mCherry,Unkn-02,Well 2,Supernatant,31.712145869986,32.0537658940596,0.43278397460339,1331.76475307036,3.12442751652618,1137.9838728515,235.180080254383,67,
,C03,SYBR,mCherry,Unkn-03,Well 3,Supernatant,32.8202295951326,32.6029992892387,0.615835553050819,760.805928141304,2.88127388793176,878.019543684106,288.139762350979,67,
,C04,SYBR,mCherry,Unkn-04,Well 4,Supernatant,35.1465799217247,34.6413452630472,0.714509706482629,234.848896765027,2.37078852436604,313.079933327511,110.63539290517,67,
,C05,SYBR,mCherry,Unkn-05,Well 5,Supernatant,31.6762405572983,32.1845948765297,0.466571111044012,1356.14597764122,3.132306440174,1068.94214286104,258.962363387583,67,
,C06,SYBR,mCherry,Unkn-06,Well 6,Supernatant,33.5712023678881,33.4398970412612,0.700017079112604,520.575005665037,2.71648331252017,580.474402650181,211.2580911665,67,
,C07,SYBR,mCherry,Unkn-07,Well 7,Supernatant,31.2049438243746,32.1726048519587,0.945458012804132,1720.78250363614,3.23572598163504,1138.09180057682,537.221831943563,67,
,C08,SYBR,mCherry,Unkn-08,Well 8,Supernatant,33.3547703738514,33.5967785395199,0.827964815200313,580.732747309896,2.76397631643283,542.609382904177,203.725626322598,67,
,C09,SYBR,mCherry,Unkn-09,Well 9,Supernatant,33.9153102691164,33.5046794497217,0.580719673916343,437.495508603573,2.64097359884703,549.999439889989,159.104585445541,67,
,C10,SYBR,mCherry,Unkn-10,Well 10,Supernatant,33.220617016262,33.5956907996771,0.650783741678628,621.461763349917,2.79341441298252,531.689335596528,155.847548013525,67,
,C11,SYBR,mCherry,Unkn-11,Well 11,Supernatant,26.4532817970522,26.6949923029753,0.322503221245413,18985.0791417007,4.278412411891,16947.5009587034,2640.65185774356,67,
,C12,SYBR,mCherry,Unkn-12,Well 12,Supernatant,33.6995490742096,33.1202873802394,0.599741748414531,487.887178523461,2.68831940517995,674.141569086858,204.843104988798,67,
,D01,SYBR,mCherry,Unkn-13,Well13,Supernatant,26.2908546915855,26.1450156388041,0.134453457492045,20608.8990007725,4.31405479087377,22218.8038236162,1493.80429220664,67,
,D02,SYBR,mCherry,Unkn-14,Well14,Supernatant,32.0278105563541,32.3785600416181,0.325543638865404,1135.42714407392,3.05515927246875,959.744399574241,160.632917425369,67,
,D03,SYBR,mCherry,Unkn-15,Well15,Supernatant,33.7914491106754,33.564098046836,0.231553190982272,465.750376694099,2.66815321482132,524.838474227764,61.4884828263499,67,
,D04,SYBR,mCherry,Unkn-16,Well16,Supernatant,34.3855172699915,34.3855172699915,0,344.979417063079,2.5377931839933,344.979417063079,0,67,
,D05,SYBR,mCherry,Unkn-17,Well17,Supernatant,33.5329082084146,32.8210500770814,1.00671942381707,530.745640401847,2.72488643551407,810.21567255966,395.230309754424,67,
,D06,SYBR,mCherry,Unkn-18,Well18,Supernatant,32.2786637585395,32.4126665376716,0.64005527474064,1000.26025152745,3.00011301109726,966.586705642712,293.721934863994,67,
,D07,SYBR,mCherry,Unkn-19,Well19,Supernatant,23.8415262278923,24.1018209946948,0.307500401336892,71043.7706558237,4.85152600360894,62781.3715313346,9451.42234203936,67,
,D08,SYBR,mCherry,Unkn-20,Well20,Supernatant,30.6910966708406,31.5924499343466,0.780863582199512,2230.91294572599,3.34848262365521,1494.79408215166,637.604297462217,67,
,D09,SYBR,mCherry,Unkn-21,Well25,Supernatant,25.2766604528526,25.3784580644485,0.237265349985953,34403.7411853808,4.53660567186867,32832.364611564,3803.90625950123,67,
,D10,SYBR,mCherry,Unkn-22,Well26,Supernatant,33.445887366376,30.2507767375488,5.24656266586698,554.60266766444,2.74398195422338,20205.2205066338,33947.2935822227,67,
,D11,SYBR,mCherry,Unkn-23,Well27,Supernatant,33.6081750513751,34.3006172361331,0.71031478491207,510.940312323385,2.70837016913153,375.59249589475,131.007234224383,67,
,D12,SYBR,mCherry,Unkn-24,Well28,Supernatant,33.5987145226229,33.4612617535508,0.27583927542699,513.388517720132,2.71044615115554,553.973270300104,79.9616856488492,67,
,E01,SYBR,mCherry,Unkn-13,Well13,Supernatant,26.0259879759901,26.1450156388041,0.134453457492045,23560.0454382237,4.37217612370211,22218.8038236162,1493.80429220664,67,
,E02,SYBR,mCherry,Unkn-14,Well14,Supernatant,32.6710234675034,32.3785600416181,0.325543638865404,820.380079773026,2.91401510641392,959.744399574241,160.632917425369,67,
,E03,SYBR,mCherry,Unkn-15,Well15,Supernatant,33.5722851448829,33.564098046836,0.231553190982272,520.290279482686,2.7162457121031,524.838474227764,61.4884828263499,67,
,E04,SYBR,mCherry,Unkn-16,Well16,Supernatant,NaN,0,0,NaN,NaN,0,0,67,
,E05,SYBR,mCherry,Unkn-17,Well17,Supernatant,NaN,0,0,NaN,NaN,0,0,67,
,E06,SYBR,mCherry,Unkn-18,Well18,Supernatant,31.8502211891318,32.4126665376716,0.64005527474064,1242.02060220193,3.09412879982479,966.586705642712,293.721934863994,67,
