Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
A01,SYBR,mCherry,Unkn-01,Well1,,24.09054157,23.75307594,0.330927969,23481.37131,4.370723456,29245.11734,5842.094058,67,
A02,SYBR,mCherry,Unkn-02,Well2,,26.55103577,26.2822487,0.232777705,5228.978486,3.718416855,6201.748443,842.4493813,67,
A03,SYBR,mCherry,Unkn-03,Well3,,23.25580506,23.17928447,0.161340047,39086.08232,4.592022142,41090.09292,4149.966455,67,
A04,SYBR,mCherry,Unkn-04,Well4,,32.91471025,33.12778158,0.229934031,107.4806346,2.031330222,94.98691159,13.11639027,67,
A05,SYBR,mCherry,Unkn-05,Well5,,25.64409207,25.32037849,0.316084531,9096.169304,3.958858535,11220.85962,2139.601335,67,
A06,SYBR,mCherry,Unkn-06,Well6,,35.42832692,34.66635496,0.682480132,23.17075658,1.364940215,38.93477609,14.52458507,67,
A07,SYBR,mCherry,Unkn-07,Well7,,22.46545327,22.1951637,0.234617842,63321.89561,4.801553907,75178.82855,10298.58138,67,
A08,SYBR,mCherry,Unkn-08,Well8,,29.72398309,29.67992076,0.066901552,753.7552733,2.877230363,774.7383791,31.99249248,67,
A09,SYBR,mCherry,Unkn-09,Well9,,34.54543891,35.11949539,1.002840091,39.71956122,1.599004442,31.15900296,15.03531837,67,
A10,SYBR,mCherry,Unkn-10,Well10,,34.12173712,33.39555147,0.885023274,51.44378123,1.711332883,88.70807019,50.57820114,67,
A11,SYBR,mCherry,Unkn-11,Well11,,34.13392183,34.094151,0.206149097,51.06255821,1.708102569,52.59718467,6.720080045,67,
A12,SYBR,mCherry,Unkn-12,Well12,,NaN,0,0,NaN,NaN,0,0,67,
B01,SYBR,mCherry,Unkn-01,Well1,,23.7395882,23.75307594,0.330927969,29091.45303,4.463765413,29245.11734,5842.094058,67,
B02,SYBR,mCherry,Unkn-02,Well2,,26.14708377,26.2822487,0.232777705,6691.282822,3.825509387,6201.748443,842.4493813,67,
B03,SYBR,mCherry,Unkn-03,Well3,,22.99392196,23.17928447,0.161340047,45861.73716,4.661450501,41090.09292,4149.966455,67,
B04,SYBR,mCherry,Unkn-04,Well4,,33.09713083,33.12778158,0.229934031,96.15421605,1.982968331,94.98691159,13.11639027,67,
B05,SYBR,mCherry,Unkn-05,Well5,,25.30452366,25.32037849,0.316084531,11191.34298,4.048882206,11220.85962,2139.601335,67,
B06,SYBR,mCherry,Unkn-06,Well6,,34.45951884,34.66635496,0.682480132,41.85842542,1.621782888,38.93477609,14.52458507,67,
B07,SYBR,mCherry,Unkn-07,Well7,,22.04410685,22.1951637,0.234617842,81895.09859,4.91325791,75178.82855,10298.58138,67,
B08,SYBR,mCherry,Unkn-08,Well8,,29.7128414,29.67992076,0.066901552,758.8993123,2.880184159,774.7383791,31.99249248,67,
B09,SYBR,mCherry,Unkn-09,Well9,,34.53558585,35.11949539,1.002840091,39.9591837,1.601616608,31.15900296,15.03531837,67,
B10,SYBR,mCherry,Unkn-10,Well10,,32.40975728,33.39555147,0.885023274,146.2848421,2.165199327,88.70807019,50.57820114,67,
B11,SYBR,mCherry,Unkn-11,Well11,,33.87101412,34.094151,0.206149097,59.95184691,1.777802567,52.59718467,6.720080045,67,
B12,SYBR,mCherry,Unkn-12,Well12,,NaN,0,0,NaN,NaN,0,0,67,
C01,SYBR,mCherry,Unkn-01,Well1,,23.42909805,23.75307594,0.330927969,35162.52767,4.546080087,29245.11734,5842.094058,67,
C02,SYBR,mCherry,Unkn-02,Well2,,26.14862657,26.2822487,0.232777705,6684.98402,3.825100373,6201.748443,842.4493813,67,
C03,SYBR,mCherry,Unkn-03,Well3,,23.28812638,23.17928447,0.161340047,38322.45928,4.583453371,41090.09292,4149.966455,67,
C04,SYBR,mCherry,Unkn-04,Well4,,33.37150367,33.12778158,0.229934031,81.32588409,1.910228793,94.98691159,13.11639027,67,
C05,SYBR,mCherry,Unkn-05,Well5,,25.01251975,25.32037849,0.316084531,13375.06657,4.126295952,11220.85962,2139.601335,67,
C06,SYBR,mCherry,Unkn-06,Well6,,34.11121911,34.66635496,0.682480132,51.77514627,1.714121335,38.93477609,14.52458507,67,
C07,SYBR,mCherry,Unkn-07,Well7,,22.07593098,22.1951637,0.234617842,80319.49144,4.90482095,75178.82855,10298.58138,67,
C08,SYBR,mCherry,Unkn-08,Well8,,29.60293779,29.67992076,0.066901552,811.5605516,2.909320929,774.7383791,31.99249248,67,
