,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,Cre,Unkn-01,33-1,,25.6509838526488,25.5490750862419,0.1861624703323,10612.5762581686,4.02582082394768,11376.0805182651,1387.18899789744,63,
,A02,SYBR,Cre,Unkn-02,33-2,,25.8050923294574,25.395671111246,0.369626167639011,9623.1972020677,3.98331938560626,12704.0042687025,2829.8644233588,63,
,A03,SYBR,Cre,Unkn-03,33-3,,25.5999820921454,25.5808031704853,0.308473813306755,10961.9181164813,4.03988655364813,11239.4902791139,2210.80107935242,63,
,A05,SYBR,Cre,Unkn-05,33-5,,26.8555370486122,26.4313247574031,0.375239199836301,4938.76293806513,3.69361818041118,6583.98699264604,1469.35496544172,63,
,A06,SYBR,Cre,Unkn-06,33-6,,28.2962114922837,28.1641958480562,0.132139869076916,1978.31694154348,3.29629587014127,2156.36941010088,180.808588267548,63,
,A07,SYBR,Cre,Unkn-07,33-7,,28.8723344062251,28.7320226842218,0.13290118509686,1372.16851298894,3.1374074493935,1503.58899555862,125.811347222964,63,
,A08,SYBR,Cre,Unkn-08,33-8,,28.1496567953046,28.1929504182574,0.610186726138516,2171.2711323181,3.33671405833114,2217.97722171123,827.049883285927,63,
,A09,SYBR,Cre,Unkn-09,33-9,,29.7799663434388,29.6892405666864,0.148264067699261,771.067597161808,2.88709245300233,819.254879926119,79.0980739231285,63,
,A10,SYBR,Cre,Unkn-10,33-10,,30.1758560850632,29.6162896770726,0.492200033264842,599.667313245719,2.77791037689531,882.153092535134,250.954863089502,63,
,A11,SYBR,Cre,Unkn-11,33-11,,31.9687440849139,32.0614323556026,0.462412491065195,192.066404515025,2.28345140645613,186.182046347027,51.8123629408752,63,
,A12,SYBR,Cre,Unkn-12,33-12,,29.139904602004,29.3476578497501,0.239658632369292,1157.74924254781,3.06361450553083,1022.37524711361,151.312309499541,63,
,B01,SYBR,Cre,Unkn-01,33-1,,25.6620335391963,25.5490750862419,0.1861624703323,10538.3699594629,4.02277344082369,11376.0805182651,1387.18899789744,63,
,B02,SYBR,Cre,Unkn-02,33-2,,25.2953836957434,25.395671111246,0.369626167639011,13301.2198471446,4.12389147168816,12704.0042687025,2829.8644233588,63,
,B03,SYBR,Cre,Unkn-03,33-3,,25.2631873792563,25.5808031704853,0.308473813306755,13575.9698521084,4.1327708648814,11239.4902791139,2210.80107935242,63,
,B04,SYBR,Cre,Unkn-04,33-4,,27.0381685583128,27.1103086828894,0.102021542567556,4397.95114300187,3.64325040045848,4205.43085118423,272.264807720528,63,
,B05,SYBR,Cre,Unkn-05,33-5,,26.2956215311419,26.4313247574031,0.375239199836301,7047.52747812413,3.84803677784969,6583.98699264604,1469.35496544172,63,
,B06,SYBR,Cre,Unkn-06,33-6,,28.0319321034972,28.1641958480562,0.132139869076916,2339.81351568457,3.36918124530053,2156.36941010088,180.808588267548,63,
,B07,SYBR,Cre,Unkn-07,33-7,,28.6080412670084,28.7320226842218,0.13290118509686,1622.91814825465,3.21029661677155,1503.58899555862,125.811347222964,63,
,B08,SYBR,Cre,Unkn-08,33-8,,28.8236309623089,28.1929504182574,0.610186726138516,1415.27008981443,3.15083932842759,2217.97722171123,827.049883285927,63,
,B09,SYBR,Cre,Unkn-09,33-9,,29.7696109628663,29.6892405666864,0.148264067699261,776.154811534272,2.88994835410537,819.254879926119,79.0980739231285,63,
,B10,SYBR,Cre,Unkn-10,33-10,,29.4226746170301,29.6162896770726,0.492200033264842,967.452424170813,2.9856296171761,882.153092535134,250.954863089502,63,
,B11,SYBR,Cre,Unkn-11,33-11,,32.5631686024846,32.0614323556026,0.462412491065195,131.678722005868,2.11951560288875,186.182046347027,51.8123629408752,63,
,B12,SYBR,Cre,Unkn-12,33-12,,29.2932145408687,29.3476578497501,0.239658632369292,1050.34819935584,3.0213332952514,1022.37524711361,151.312309499541,63,
,C01,SYBR,Cre,Unkn-01,33-1,,25.3342078668807,25.5490750862419,0.1861624703323,12977.2953371639,4.11318418841652,11376.0805182651,1387.18899789744,63,
,C02,SYBR,Cre,Unkn-02,33-2,,25.0865373085374,25.395671111246,0.369626167639011,15187.5957568951,4.1814890291521,12704.0042687025,2829.8644233588,63,
,C03,SYBR,Cre,Unkn-03,33-3,,25.879240040054,25.5808031704853,0.308473813306755,9180.58286875218,3.96287025512791,11239.4902791139,2210.80107935242,63,
,C04,SYBR,Cre,Unkn-04,33-4,,27.182448807466,27.1103086828894,0.102021542567556,4012.91055936659,3.60345948019075,4205.43085118423,272.264807720528,63,
,C05,SYBR,Cre,Unkn-05,33-5,,26.1428156924554,26.4313247574031,0.375239199836301,7765.67056174884,3.89017896279394,6583.98699264604,1469.35496544172,63,
,C06,SYBR,Cre,Unkn-06,33-6,,28.1644439483876,28.1641958480562,0.132139869076916,2150.9777730746,3.33263592266969,2156.36941010088,180.808588267548,63,
,C07,SYBR,Cre,Unkn-07,33-7,,28.7156923794317,28.7320226842218,0.13290118509686,1515.68032543227,3.18060761320865,1503.58899555862,125.811347222964,63,
,C08,SYBR,Cre,Unkn-08,33-8,,27.6055634971587,28.1929504182574,0.610186726138516,3067.39044300116,3.48676906011958,2217.97722171123,827.049883285927,63,
,C09,SYBR,Cre,Unkn-09,33-9,,29.5181443937543,29.6892405666864,0.148264067699261,910.542231082278,2.95930009323986,819.254879926119,79.0980739231285,63,
,C10,SYBR,Cre,Unkn-10,33-10,,29.2503383291245,29.6162896770726,0.492200033264842,1079.33954018887,3.03315808716096,882.153092535134,250.954863089502,63,
,C11,SYBR,Cre,Unkn-11,33-11,,31.6523843794094,32.0614323556026,0.462412491065195,234.801012520189,2.37069996536511,186.182046347027,51.8123629408752,63,
,C12,SYBR,Cre,Unkn-12,33-12,,29.6098544063774,29.3476578497501,0.239658632369292,859.028299437186,2.93400747126659,1022.37524711361,151.312309499541,63,
,D01,SYBR,Cre,Unkn-13,33-13,,34.3686471615807,34.6605448898098,0.412805726087437,41.839288781515,1.6215842934288,35.3590685297544,9.16441536720468,63,
,D02,SYBR,Cre,Unkn-14,33-14,,34.6326757067709,34.2490598774593,0.509868321651116,35.3808366296927,1.54876809819957,46.8157270379527,16.0647702118075,63,
,D03,SYBR,Cre,Unkn-15,33-15,,35.741489604711,35.4007412428949,0.629508438515779,17.4972303627299,1.24296930963618,22.9866316713678,9.93724085301153,63,
,D04,SYBR,Cre,Unkn-16,33-16,,33.7353993401644,33.24260498492,0.508735023104831,62.5499750904083,1.79622714107819,88.5637413763817,28.6368707632075,63,
,D05,SYBR,Cre,Unkn-17,33-17,,36.3528951973791,36.0170383460128,0.642295403201425,11.8672559884163,1.07435031062644,15.5783452683021,6.87232626010209,63,
,D06,SYBR,Cre,Unkn-18,33-18,,33.6449471455426,34.4175374424858,0.710914367128162,66.2480150895699,1.8211728705551,43.4873721037479,20.3018524602529,63,
,D07,SYBR,Cre,Unkn-19,33-19,,33.499593688139,33.7617102337317,0.389443319772044,72.6540402142455,1.86125976996184,62.7166636486127,14.3242655804749,63,
,D08,SYBR,Cre,Unkn-20,33-20,,33.7784424035813,33.9312001771129,0.204182656307137,60.8634173342751,1.78435633329577,55.5400225649262,6.9535985333533,63,
,D09,SYBR,Cre,Unkn-21,33-21,,34.233375691875,34.536556240985,0.326385740696085,45.5922148453757,1.65889069050774,38.1410200372207,7.70804136126309,63,
,D10,SYBR,Cre,Unkn-22,33-22,,35.9983601216316,35.3986496859728,0.617172133597403,14.8637099044448,1.17212722059142,22.8931724382188,8.93671166295097,63,
,D11,SYBR,Cre,Unkn-23,33-23,,33.5173505659694,33.3225433874552,0.215886650411947,71.8393867861851,1.85636261658084,81.815577273581,11.3801735693614,63,
,D12,SYBR,Cre,Unkn-24,33-24,,35.3139463893268,35.0632753935532,0.260307601900476,22.9551993586373,1.36088106882847,27.163319361954,4.51320640432344,63,
,E02,SYBR,Cre,Unkn-14,33-14,,34.4440269323265,34.2490598774593,0.509868321651116,39.8836938745178,1.60079537418899,46.8157270379527,16.0647702118075,63,
,E03,SYBR,Cre,Unkn-15,33-15,,34.674310599384,35.4007412428949,0.629508438515779,34.4576494598107,1.53728564857774,22.9866316713678,9.93724085301153,63,
,E04,SYBR,Cre,Unkn-16,33-16,,33.2731132357619,33.24260498492,0.508735023104831,83.8920120222657,1.92372061041383,88.5637413763817,28.6368707632075,63,
,E05,SYBR,Cre,Unkn-17,33-17,,36.4217734485174,36.0170383460128,0.642295403201425,11.3593750722415,1.05535443963711,15.5783452683021,6.87232626010209,63,
