symbol_ensembl	Gag	GagMCP	GagZipMCP	EPN24MCP	No_Exporter_Psi	No_Exporter_MS2x8	NoDNA	Wildtype
DCLK1_ENSG00000133083	81	129	138	172	105	166	208	322
CCNA1_ENSG00000133101	29	17	22	11	13	23	4	13
COG6_ENSG00000133103	752	810	868	933	688	1049	996	998
SPART_ENSG00000133104	2472	2509	2796	2707	2162	3046	2657	2310
RXFP2_ENSG00000133105	0	0	0	0	2	0	2	0
EPSTI1_ENSG00000133106	28	34	50	16	11	16	33	50
TRPC4_ENSG00000133107	0	10	2	1	7	5	4	8
POSTN_ENSG00000133110	0	0	0	1	2	4	0	1
RFXAP_ENSG00000133111	742	768	776	707	646	879	658	650
TPT1_ENSG00000133112	33141	32268	33239	36615	32791	42069	35028	31666
GPALPP1_ENSG00000133114	1467	1419	1532	1539	1287	1884	1716	1617
STOML3_ENSG00000133115	0	0	0	0	0	0	0	2
KL_ENSG00000133116	1	0	0	1	3	2	1	1
RFC3_ENSG00000133119	2737	2822	2941	2901	2434	3520	3035	2813
STARD13_ENSG00000133121	206	272	285	221	178	292	333	365
IRS4_ENSG00000133124	20828	23293	25375	24679	16459	31801	30183	33932
MORC4_ENSG00000133131	2280	2437	2490	2498	2150	2852	2533	2701
BEX2_ENSG00000133134	2647	2226	2609	2948	2532	3143	2501	1932
RNF128_ENSG00000133135	353	352	408	333	286	430	414	419
TBC1D8B_ENSG00000133138	285	330	307	376	282	411	367	410
TCEAL4_ENSG00000133142	2439	2302	2536	2382	1957	2866	2403	2183
BEX1_ENSG00000133169	225	228	241	231	171	236	193	106
FAM104A_ENSG00000133193	584	696	644	672	455	798	703	682
SLC39A11_ENSG00000133195	311	351	320	359	262	466	434	426
EPHB2_ENSG00000133216	465	618	554	557	476	618	702	771
SRRM1_ENSG00000133226	5279	5765	6146	5346	3725	5967	4161	4061
BTBD2_ENSG00000133243	4131	4280	4171	4621	3793	4969	5575	5368
PRAM1_ENSG00000133246	13	4	24	13	11	11	7	8
KMT5C_ENSG00000133247	1233	1163	1314	1212	1106	1428	1142	1426
ZNF414_ENSG00000133250	587	583	609	631	464	635	554	563
PDE6B_ENSG00000133256	0	0	0	1	2	0	0	2
HSPBP1_ENSG00000133265	1444	1471	1401	1470	1414	1659	1277	1107
CSNK1G2_ENSG00000133275	3361	3203	3665	3356	2829	3828	3476	3674
SLF1_ENSG00000133302	976	998	1312	951	801	1331	882	996
CNDP2_ENSG00000133313	1536	1624	1799	1713	1415	2099	1906	1460
MACROD1_ENSG00000133315	1030	917	1034	978	1131	1221	1236	1125
WDR74_ENSG00000133316	1165	1202	1210	1245	1006	1421	932	914
RTN3_ENSG00000133318	5680	5773	5812	6447	5187	7319	7598	6953
PLAAT4_ENSG00000133321	0	0	0	1	0	0	0	0
PLAAT2_ENSG00000133328	0	1	0	0	0	0	0	0
MYH11_ENSG00000133392	3	9	5	3	5	11	10	7
CEP20_ENSG00000133393	1331	1297	1372	1488	1188	1758	1470	1238
MED10_ENSG00000133398	1408	1479	1535	1577	1231	1735	1442	1251
PDZD2_ENSG00000133401	35	30	38	39	23	41	105	147
MORC2_ENSG00000133422	2236	2315	2421	2278	1865	2750	2683	2427
LARGE1_ENSG00000133424	440	475	474	502	385	630	625	691
GSTT2B_ENSG00000133433	0	0	4	3	0	0	0	0
MYO18B_ENSG00000133454	1	0	1	0	0	0	0	0
SLC2A11_ENSG00000133460	449	390	472	378	253	545	315	333
C1QTNF6_ENSG00000133466	292	306	308	330	188	374	188	446
GGT2_ENSG00000133475	0	5	0	0	0	1	0	0
FAM83F_ENSG00000133477	1	3	0	0	6	7	1	1
ZDHHC8P1_ENSG00000133519	54	58	50	62	18	72	36	58
ADCK2_ENSG00000133597	1768	1742	1730	1968	1843	2174	2118	2383
MKRN1_ENSG00000133606	2536	2394	2476	2435	1913	2827	2361	2747
AGAP3_ENSG00000133612	3796	3758	4110	3892	3502	4531	4925	5075
KRBA1_ENSG00000133619	1225	1128	1306	1304	938	1347	870	937
ZNF767P_ENSG00000133624	1389	1188	1526	1052	977	1462	276	468
ACTR3B_ENSG00000133627	821	833	929	724	722	1106	624	576
NTS_ENSG00000133636	6	4	1	1	3	5	3	3
BTG1_ENSG00000133639	2499	2461	2619	2706	2113	3019	3058	3175
LRRIQ1_ENSG00000133640	117	113	129	156	77	150	114	131
C12orf29_ENSG00000133641	1069	1077	1100	1090	949	1319	956	1000
ATP13A3_ENSG00000133657	1972	2109	2221	2369	1847	2763	2446	2281
SFTPD_ENSG00000133661	2	3	0	4	2	7	0	3
DYDC2_ENSG00000133665	0	0	0	0	1	0	0	2
TMEM254_ENSG00000133678	718	710	658	784	649	864	825	740
TMTC1_ENSG00000133687	304	313	327	352	279	542	459	666
KRAS_ENSG00000133703	1702	1745	1949	1799	1368	2080	2212	2336
IPO8_ENSG00000133704	2239	2337	2426	2455	1971	2912	2928	2851
LARS1_ENSG00000133706	9515	10311	10613	10589	7928	13113	12412	11200
SPINK5_ENSG00000133710	38	47	60	39	21	52	16	20
IMPA1_ENSG00000133731	926	951	1054	997	717	1237	975	922
LRRCC1_ENSG00000133739	319	350	388	407	299	476	334	358
E2F5_ENSG00000133740	883	948	959	962	850	1240	1148	1163
CA1_ENSG00000133742	4	2	1	0	0	2	0	0
CCDC59_ENSG00000133773	1725	1836	1885	1751	1334	2073	1341	1181
SWAP70_ENSG00000133789	1225	1370	1307	1298	977	1597	1645	1542
ARNTL_ENSG00000133794	573	604	716	658	537	722	551	405
AMPD3_ENSG00000133805	25	34	21	24	19	25	30	41
SBF2_ENSG00000133812	938	1015	919	995	676	1212	1353	1319
MICAL2_ENSG00000133816	227	289	304	191	259	362	315	447
RRAS2_ENSG00000133818	1258	1280	1302	1366	1056	1470	1382	1220
HSD17B4_ENSG00000133835	2693	2630	2691	2902	2271	3292	3174	3162
ZFC3H1_ENSG00000133858	1019	1069	1222	1140	794	1398	1095	1356
TEX15_ENSG00000133863	127	178	179	170	116	235	346	472
SARAF_ENSG00000133872	2416	2339	2394	2664	2189	2843	2400	2464
RNF122_ENSG00000133874	311	426	319	418	348	450	465	537
DUSP26_ENSG00000133878	15	16	15	16	16	16	11	10
DPF2_ENSG00000133884	3188	3499	3710	3389	2655	4002	3754	3225
MEN1_ENSG00000133895	2525	2528	2652	2670	2111	2768	2961	2747
ERG28_ENSG00000133935	1020	939	981	1020	932	1240	1045	1008
GSC_ENSG00000133937	50	46	57	78	44	46	58	64
DGLUCY_ENSG00000133943	270	308	303	223	208	355	252	208
UNC79_ENSG00000133958	62	38	39	49	24	57	12	12
NUMB_ENSG00000133961	1491	1446	1498	1578	1227	1854	1629	1659
CATSPERB_ENSG00000133962	3	2	2	3	3	2	0	1
VRTN_ENSG00000133980	2	3	0	6	0	0	2	0
COX16_ENSG00000133983	457	458	523	527	452	613	510	437
TTC9_ENSG00000133985	131	121	172	174	112	189	165	254
MED6_ENSG00000133997	1014	1069	1075	1000	887	1298	1066	997
EIF2S1_ENSG00000134001	2869	3252	3367	3141	2521	3809	2698	2477
ADAM20_ENSG00000134007	6	0	0	0	0	2	1	1
LOXL2_ENSG00000134013	199	192	184	157	161	214	284	591
ELP3_ENSG00000134014	1100	1143	1122	1141	883	1188	1060	958
CTIF_ENSG00000134030	676	768	843	798	569	920	876	1116
MRO_ENSG00000134042	1	4	0	5	3	1	7	3
MBD2_ENSG00000134046	825	833	883	913	677	1043	839	762
IER3IP1_ENSG00000134049	914	869	917	1024	893	1130	1020	953
MRPS36_ENSG00000134056	567	486	564	646	498	629	492	430
CCNB1_ENSG00000134057	3245	3344	3487	3063	2631	3610	2666	2858
CDK7_ENSG00000134058	763	752	745	678	617	884	603	589
IRAK2_ENSG00000134070	192	221	195	243	155	244	175	269
CAMK1_ENSG00000134072	641	672	644	645	612	822	826	733
THUMPD3_ENSG00000134077	2200	2392	2312	2277	1814	2769	2194	2090
VHL_ENSG00000134086	5973	5939	6154	6045	5293	6690	6757	7014
BHLHE40_ENSG00000134107	1515	1648	1610	1817	1398	2018	2044	3393
ARL8B_ENSG00000134108	2939	3158	3267	3185	2467	3716	3037	2431
EDEM1_ENSG00000134109	1882	1829	1971	1895	1477	2297	2047	2118
MEIS2_ENSG00000134138	649	610	693	687	526	747	932	992
DPH6_ENSG00000134146	269	274	238	258	227	342	337	299
KATNBL1_ENSG00000134152	489	475	550	484	413	580	538	512
EMC7_ENSG00000134153	1008	1127	1159	1092	1022	1443	1005	870
TRPM1_ENSG00000134160	0	0	1	0	0	0	0	2
GNAT2_ENSG00000134183	22	21	14	23	12	17	12	8
GSTM1_ENSG00000134184	1	2	1	2	0	1	1	0
PRPF38B_ENSG00000134186	4762	5096	5747	5336	3498	6015	3392	2977
REG4_ENSG00000134193	5	0	0	0	3	0	1	0
TSPAN2_ENSG00000134198	83	97	88	132	68	140	197	289
GSTM5_ENSG00000134201	2	0	0	1	0	0	0	2
GSTM3_ENSG00000134202	776	836	806	891	736	1030	921	1105
SYT6_ENSG00000134207	31	48	43	54	27	46	33	63
VAV3_ENSG00000134215	147	202	164	141	153	246	219	290
PSRC1_ENSG00000134222	1194	1161	1156	1005	804	1149	806	803
PTPN22_ENSG00000134242	6	5	17	3	9	6	1	1
SORT1_ENSG00000134243	2926	2909	2916	2821	2383	3346	3297	2573
WNT2B_ENSG00000134245	100	97	118	89	92	121	141	138
PTGFRN_ENSG00000134247	1645	1691	1668	1771	1444	2138	2366	2395
LAMTOR5_ENSG00000134248	1078	1001	1147	1028	905	1361	920	911
ADAM30_ENSG00000134249	0	0	0	5	0	0	0	0
NOTCH2_ENSG00000134250	2813	3056	3116	3129	2166	3806	4677	4398
TRIM45_ENSG00000134253	358	360	382	351	266	502	403	583
CEPT1_ENSG00000134255	1370	1425	1588	1268	1078	1574	1246	1243
CD101_ENSG00000134256	22	27	29	23	20	32	10	22
VTCN1_ENSG00000134258	3	0	1	1	0	2	1	0
NGF_ENSG00000134259	11	2	10	16	6	13	6	3
AP4B1_ENSG00000134262	643	666	675	627	441	676	515	542
NAPG_ENSG00000134265	601	550	600	616	420	690	580	593
SPIRE1_ENSG00000134278	495	645	618	603	560	776	811	762
PPHLN1_ENSG00000134283	1032	1207	1278	1190	887	1334	992	1045
FKBP11_ENSG00000134285	170	157	232	163	89	218	74	106
ARF3_ENSG00000134287	3819	3968	3869	4042	3616	4914	4753	4533
TMEM106C_ENSG00000134291	4661	4268	4523	4501	3970	5316	4478	4260
SLC38A2_ENSG00000134294	8975	9108	9203	9781	7811	11413	12244	10472
PLEKHA8P1_ENSG00000134297	87	35	36	70	65	61	95	75
YWHAQ_ENSG00000134308	9963	10154	10227	10993	9341	13021	12152	10854
KIDINS220_ENSG00000134313	2914	3091	3355	3102	2229	3797	3908	3290
GRHL1_ENSG00000134317	239	160	227	215	166	206	159	160
ROCK2_ENSG00000134318	1831	2044	2021	2206	1646	2658	3081	2477
RSAD2_ENSG00000134321	0	2	0	1	1	0	0	0
MYCN_ENSG00000134323	6	2	8	4	1	2	2	10
LPIN1_ENSG00000134324	615	657	650	678	470	869	831	806
CMPK2_ENSG00000134326	4	4	2	5	1	0	6	3
IAH1_ENSG00000134330	922	931	913	997	904	1135	1075	1032
LDHA_ENSG00000134333	11800	12753	12445	13691	10907	16841	16424	29021
SAA2_ENSG00000134339	0	0	4	0	2	1	0	0
ANO3_ENSG00000134343	0	0	0	1	0	0	0	0
IL6ST_ENSG00000134352	1470	1637	1678	1725	1342	1863	2042	2154
FST_ENSG00000134363	68	43	65	42	31	45	24	34
CFHR4_ENSG00000134365	0	0	2	0	0	0	0	4
NAV1_ENSG00000134369	358	374	363	428	267	440	572	736
CDC73_ENSG00000134371	2000	2067	2077	2067	1664	2385	2395	2242
TIMM17A_ENSG00000134375	2108	1987	2104	1924	1691	2463	1537	1577
CRB1_ENSG00000134376	2	15	4	5	7	3	4	10
CFHR5_ENSG00000134389	0	1	0	0	0	3	0	6
ERN2_ENSG00000134398	10	7	5	12	14	4	0	2
RPS15A_ENSG00000134419	16787	16852	17846	18106	15776	21881	15579	15855
RAX_ENSG00000134438	0	1	0	0	0	0	0	0
NARS1_ENSG00000134440	4748	5263	5288	5582	4115	6784	6079	5290
GRP_ENSG00000134443	3	0	2	0	0	0	2	0
RELCH_ENSG00000134444	811	941	919	857	669	1011	846	786
FBH1_ENSG00000134452	1570	1615	1638	1597	1327	1833	1686	1536
RBM17_ENSG00000134453	2736	2601	2917	2718	2250	3370	3015	2901
IL2RA_ENSG00000134460	0	6	0	0	0	2	0	0
ANKRD16_ENSG00000134461	227	294	298	282	235	324	325	332
ECHDC3_ENSG00000134463	6	10	13	8	6	9	0	6
IL15RA_ENSG00000134470	49	36	35	52	40	58	43	74
CCNH_ENSG00000134480	1382	1436	1395	1362	1141	1905	1310	1289
HRH4_ENSG00000134489	7	5	3	6	8	6	4	6
TMEM241_ENSG00000134490	697	706	727	839	611	800	840	888
KCTD1_ENSG00000134504	722	786	741	769	585	827	695	693
CABLES1_ENSG00000134508	849	901	887	974	747	1111	1150	1225
DOCK2_ENSG00000134516	5	0	0	2	0	0	0	0
EMP1_ENSG00000134531	15	14	22	17	11	32	22	37
SOX5_ENSG00000134532	99	83	100	70	58	87	135	199
RERG_ENSG00000134533	74	44	50	54	51	76	79	67
KLRD1_ENSG00000134539	0	9	6	3	12	7	0	1
SPX_ENSG00000134548	25	37	22	40	35	39	55	70
PRH2_ENSG00000134551	2	5	4	1	2	8	1	3
LRP4_ENSG00000134569	403	423	375	435	349	487	643	637
MYBPC3_ENSG00000134571	2	1	6	2	2	4	0	0
DDB2_ENSG00000134574	3707	3827	4391	2949	2779	3732	1225	1300
ACP2_ENSG00000134575	973	1047	982	1077	838	1174	1099	975
RTL8C_ENSG00000134590	1772	1781	1766	1912	1354	2008	1606	1821
RAB33A_ENSG00000134594	6	3	4	5	3	6	0	0
SOX3_ENSG00000134595	34	28	30	39	28	34	43	27
RBMX2_ENSG00000134597	1264	1160	1337	1253	1083	1478	1212	1158
STK26_ENSG00000134602	2094	2259	2229	2448	1942	2637	3063	2974
PIWIL4_ENSG00000134627	25	35	28	33	15	36	21	12
PUM1_ENSG00000134644	4632	5039	5200	5101	3812	6090	6206	5494
SPOCD1_ENSG00000134668	57	85	55	34	37	71	58	72
YARS1_ENSG00000134684	21321	23028	23134	23257	18284	27911	25204	20760
PHC2_ENSG00000134686	3043	3086	3149	3104	2616	3496	3521	3170
CDCA8_ENSG00000134690	2265	2402	2638	2117	1768	2689	1809	1575
GNL2_ENSG00000134697	3927	4198	4424	4254	3263	5016	3635	2915
AGO4_ENSG00000134698	769	809	889	809	512	954	833	741
HOOK1_ENSG00000134709	1791	1776	2054	1939	1418	2279	2212	2091
CYP2J2_ENSG00000134716	63	47	45	40	28	49	58	80
BTF3L4_ENSG00000134717	2425	2570	2605	2688	2191	3295	2959	2685
TUT4_ENSG00000134744	2097	2113	2211	2331	1790	2787	2830	2772
PRPF38A_ENSG00000134748	2010	2142	2266	2219	1591	2502	1785	1787
DSC2_ENSG00000134755	1355	1279	1339	1536	1112	1724	2105	1873
DSG3_ENSG00000134757	13	18	9	9	2	8	2	0
RNF138_ENSG00000134758	6531	6616	6996	7133	5966	7970	7436	6401
ELP2_ENSG00000134759	4549	5048	5088	5008	3784	6183	4892	5246
DSG1_ENSG00000134760	0	5	0	0	1	4	0	0
DSC3_ENSG00000134762	2949	3338	3166	3319	2738	4075	4668	4086
DSC1_ENSG00000134765	1	0	1	0	6	0	7	4
DTNA_ENSG00000134769	1506	1573	1824	1749	1273	2089	1666	1651
FHOD3_ENSG00000134775	385	436	507	407	359	555	570	661
TPGS2_ENSG00000134779	5363	5286	5260	5584	4547	6804	6396	5827
DAGLA_ENSG00000134780	347	340	403	350	262	417	370	350
SLC43A3_ENSG00000134802	9	1	3	4	6	1	4	1
TIMM10_ENSG00000134809	860	811	845	978	920	1100	850	712
DHX34_ENSG00000134815	1910	1817	2076	1962	1374	2159	1612	1298
APLNR_ENSG00000134817	0	3	1	0	0	0	2	0
FADS2_ENSG00000134824	1538	1682	1637	1705	1521	1895	2418	2550
TMEM258_ENSG00000134825	1275	1349	1444	1461	1413	1769	1485	1542
TMEM165_ENSG00000134851	1996	2026	2198	2064	2112	2491	2365	2048
CLOCK_ENSG00000134852	535	618	647	610	469	760	632	701
PDGFRA_ENSG00000134853	14	17	18	5	7	17	14	24
GGACT_ENSG00000134864	305	279	290	299	278	375	373	334
COL4A2_ENSG00000134871	1318	1300	1266	1421	1228	1587	2186	2481
CLDN10_ENSG00000134873	3	9	2	0	0	7	5	5
DZIP1_ENSG00000134874	2277	2379	2605	2447	2000	3048	2640	2812
UBAC2_ENSG00000134882	1536	1498	1653	1421	1398	1747	1699	1670
ARGLU1_ENSG00000134884	2846	2705	3390	3058	2166	3575	1792	2302
BIVM_ENSG00000134897	471	516	492	477	393	658	500	598
ERCC5_ENSG00000134899	84	81	91	109	52	107	60	76
TPP2_ENSG00000134900	1494	1635	1630	1510	1223	1857	1332	1136
POGLUT2_ENSG00000134901	429	424	504	466	401	537	472	487
CARS2_ENSG00000134905	1005	1047	1119	1086	884	1300	1063	951
ARHGAP32_ENSG00000134909	683	682	723	674	430	847	1002	835
STT3A_ENSG00000134910	6960	7440	7524	7713	6577	9300	9265	7424
ADAMTS8_ENSG00000134917	9	17	27	23	20	21	17	16
ACRV1_ENSG00000134940	15	8	5	8	6	8	2	0
ETS1_ENSG00000134954	21	39	51	48	32	55	69	65
SLC37A2_ENSG00000134955	142	175	246	86	120	142	38	58
KLB_ENSG00000134962	10	27	8	15	9	3	2	7
TMED7_ENSG00000134970	1853	1862	1797	2058	1608	2261	2149	1926
APC_ENSG00000134982	1188	1305	1402	1156	908	1585	1598	1608
NREP_ENSG00000134986	131	105	103	89	103	142	152	255
WDR36_ENSG00000134987	1928	2079	2096	2089	1638	2600	2329	2190
OSTF1_ENSG00000134996	253	243	278	220	289	364	357	429
RFK_ENSG00000135002	1236	1323	1258	1228	1086	1554	1328	1182
UBQLN1_ENSG00000135018	6348	6743	6533	7061	5453	7972	7250	6116
NAA35_ENSG00000135040	1508	1369	1433	1522	1090	1826	1589	1535
C9orf40_ENSG00000135045	1710	1830	1836	1849	1621	2110	2024	1621
ANXA1_ENSG00000135046	96	107	99	168	111	160	139	112
CTSL_ENSG00000135047	1278	1243	1343	1317	1037	1536	1303	1504
CEMIP2_ENSG00000135048	258	293	280	266	264	394	323	328
AGTPBP1_ENSG00000135049	2912	3039	3121	3353	2502	3976	3786	3545
GOLM1_ENSG00000135052	3255	3481	3355	3620	2685	4186	4480	4624
FAM189A2_ENSG00000135063	63	59	79	68	59	120	79	78
PSAT1_ENSG00000135069	15046	15037	15528	16390	14095	19250	19324	17855
ISCA1_ENSG00000135070	774	839	747	908	682	1058	858	829
ADAM19_ENSG00000135074	156	125	159	161	129	215	266	312
HAVCR2_ENSG00000135077	12	17	14	13	3	5	5	2
CCNJL_ENSG00000135083	33	36	43	58	38	59	68	95
TAOK3_ENSG00000135090	361	386	387	386	283	523	498	570
USP30_ENSG00000135093	1025	1066	985	988	905	1186	1008	1034
SDS_ENSG00000135094	0	0	3	0	0	0	1	0
MSI1_ENSG00000135097	1264	1323	1255	1410	1103	1438	1575	1477
HNF1A_ENSG00000135100	1	0	1	2	1	0	0	0
FBXO21_ENSG00000135108	1442	1629	1588	1689	1424	1958	2000	2082
TBX3_ENSG00000135111	1525	1481	1588	1517	1126	1685	1432	1383
OASL_ENSG00000135114	7	1	8	5	1	3	0	2
HRK_ENSG00000135116	791	773	949	943	694	1067	993	728
RNFT2_ENSG00000135119	361	319	352	270	251	333	252	306
P2RX4_ENSG00000135124	470	444	435	476	327	519	427	401
BICDL1_ENSG00000135127	285	282	321	228	216	301	126	115
DTX1_ENSG00000135144	4	4	6	12	4	5	7	14
TRAFD1_ENSG00000135148	1445	1511	1633	1368	1201	1532	1047	1090
DMTF1_ENSG00000135164	2447	2747	2972	2669	1870	3295	2141	2149
TMEM243_ENSG00000135185	461	453	475	538	441	611	495	461
CCDC146_ENSG00000135205	77	75	94	68	71	91	31	47
TMEM60_ENSG00000135211	202	194	187	234	204	269	198	246
CD36_ENSG00000135218	17	7	23	3	3	22	4	4
UGT2A3_ENSG00000135220	0	0	0	0	0	1	0	0
PNPLA8_ENSG00000135241	1176	1173	1358	1267	1075	1559	1393	1293
HILPDA_ENSG00000135245	432	434	381	434	403	587	581	1237
FAM71F1_ENSG00000135248	1	0	0	2	2	1	0	2
RINT1_ENSG00000135249	1312	1484	1376	1270	1168	1589	1140	929
SRPK2_ENSG00000135250	1632	1723	1733	1784	1375	2022	2012	1842
KCP_ENSG00000135253	52	55	30	51	38	59	48	65
TES_ENSG00000135269	3259	3284	3307	3426	3084	4088	3847	2782
MDFIC_ENSG00000135272	643	628	744	838	663	816	909	820
MTO1_ENSG00000135297	1350	1244	1248	1233	1059	1440	999	924
ADGRB3_ENSG00000135298	109	119	141	158	74	193	203	271
ANKRD6_ENSG00000135299	341	271	366	363	234	341	336	378
KHDC1_ENSG00000135314	81	67	77	63	87	109	71	80
CEP162_ENSG00000135315	307	334	359	345	235	450	242	257
SYNCRIP_ENSG00000135316	7780	8583	9023	8769	6437	10477	9535	8103
SNX14_ENSG00000135317	755	793	844	761	677	990	892	1018
NT5E_ENSG00000135318	4	19	29	19	14	11	15	50
MRAP2_ENSG00000135324	35	39	22	38	23	27	64	123
EPHA7_ENSG00000135333	386	447	368	437	320	471	718	829
AKIRIN2_ENSG00000135334	3956	4689	4595	4355	3426	4890	3948	3157
ORC3_ENSG00000135336	1296	1431	1446	1364	1074	1848	1543	1450
LCA5_ENSG00000135338	315	332	418	312	280	374	371	405
MAP3K7_ENSG00000135341	2125	2195	2403	2401	1800	2783	2372	2169
CGA_ENSG00000135346	19	8	18	9	20	23	24	19
PRR5L_ENSG00000135362	40	63	49	20	37	55	49	34
LMO2_ENSG00000135363	41	49	41	26	38	35	37	53
PHF21A_ENSG00000135365	1250	1332	1428	1213	909	1362	1327	1562
NAT10_ENSG00000135372	3704	4058	3848	3949	3208	4700	4652	3783
EHF_ENSG00000135373	0	4	0	0	0	2	0	0
PRRG4_ENSG00000135378	383	479	514	360	296	496	329	282
CAPRIN1_ENSG00000135387	9711	10170	10560	9957	7850	12804	11035	10156
ATP5MC2_ENSG00000135390	5659	5582	5817	6009	5219	6844	6824	6586
DNAJC14_ENSG00000135392	465	478	487	443	432	636	605	574
CD63_ENSG00000135404	2943	2720	2961	3145	2795	3531	3135	2960
PRPH_ENSG00000135406	27	38	27	26	23	30	25	43
AVIL_ENSG00000135407	34	31	24	25	16	26	16	19
AMHR2_ENSG00000135409	46	46	33	37	38	65	55	52
GDF11_ENSG00000135414	445	506	557	497	386	522	672	881
GLS2_ENSG00000135423	73	77	81	46	51	101	25	42
ITGA7_ENSG00000135424	347	367	408	422	253	460	348	512
FAM186B_ENSG00000135436	46	48	61	35	29	53	10	15
RDH5_ENSG00000135437	9	0	16	4	4	3	2	6
AGAP2_ENSG00000135439	125	188	152	188	118	186	223	397
BLOC1S1_ENSG00000135441	632	539	588	585	623	721	590	604
CDK4_ENSG00000135446	5437	5136	5228	5590	4934	6479	6065	5306
PPP1R1A_ENSG00000135447	67	46	51	58	46	57	91	141
TROAP_ENSG00000135451	2053	2083	2551	1935	1317	2295	1011	1276
TSPAN31_ENSG00000135452	893	844	859	823	715	1084	878	781
B4GALNT1_ENSG00000135454	123	133	154	137	116	142	146	285
TFCP2_ENSG00000135457	1657	1734	1516	1824	1253	2047	2004	1651
COQ10A_ENSG00000135469	415	468	447	406	394	489	415	564
FAIM2_ENSG00000135472	3	0	5	0	0	0	0	0
PAN2_ENSG00000135473	2134	1980	2403	2310	1443	2733	1994	2253
ESPL1_ENSG00000135476	3096	2823	3141	2891	2239	3487	2939	2841
KRT7_ENSG00000135480	1	0	0	0	1	1	0	0
ZC3H10_ENSG00000135482	279	372	371	389	362	446	373	371
HNRNPA1_ENSG00000135486	33150	32711	34162	34593	29971	41149	42997	47710
SLC26A10_ENSG00000135502	13	20	19	26	7	23	12	18
ACVR1B_ENSG00000135503	1126	1273	1386	1358	1036	1566	1664	1684
OS9_ENSG00000135506	3926	3964	4198	4112	3440	4808	4370	3787
MIP_ENSG00000135517	6	8	9	4	6	9	4	0
KCNH3_ENSG00000135519	52	51	48	61	51	57	44	65
LTV1_ENSG00000135521	1720	1961	1859	1685	1451	2311	1785	1527
MAP7_ENSG00000135525	813	782	824	838	671	1010	934	918
CD164_ENSG00000135535	3680	3844	3745	4177	3482	4632	4203	3907
AFG1L_ENSG00000135537	263	240	291	234	197	332	208	238
NHSL1_ENSG00000135540	1153	1203	1138	1353	879	1413	1703	1425
AHI1_ENSG00000135541	942	1089	1094	956	695	1235	819	840
HEY2_ENSG00000135547	547	510	530	536	404	601	510	482
PKIB_ENSG00000135549	94	116	100	125	85	175	163	174
NMBR_ENSG00000135577	0	0	0	2	2	0	0	4
SMPD2_ENSG00000135587	236	251	236	279	212	287	245	207
MICAL1_ENSG00000135596	356	407	347	276	248	383	246	315
REPS1_ENSG00000135597	3301	3442	3600	3276	2454	3872	3281	2872
STX11_ENSG00000135604	21	27	23	25	31	29	28	21
TEC_ENSG00000135605	56	68	64	74	33	100	70	86
PRADC1_ENSG00000135617	526	412	496	458	454	614	416	445
SEMA4F_ENSG00000135622	605	589	653	634	519	797	708	723
CCT7_ENSG00000135624	14777	14762	14788	15651	13910	17783	15407	13141
EGR4_ENSG00000135625	22	10	7	3	10	25	2	3
RAB11FIP5_ENSG00000135631	751	879	934	919	673	1042	964	1076
SMYD5_ENSG00000135632	1077	956	1077	1117	783	1179	1159	921
DYSF_ENSG00000135636	39	36	32	49	29	38	34	78
CCDC142_ENSG00000135637	726	677	856	771	474	740	567	594
EMX1_ENSG00000135638	316	306	344	291	279	324	281	330
KCNMB4_ENSG00000135643	213	201	223	232	187	227	247	290
USP15_ENSG00000135655	2057	2190	2460	2052	1742	2534	1703	1377
GNS_ENSG00000135677	1903	1871	1798	1945	1559	2221	2323	2006
CPM_ENSG00000135678	68	67	72	62	61	86	95	149
MDM2_ENSG00000135679	12193	12138	14863	11247	9216	13713	9159	6629
KLHL36_ENSG00000135686	661	744	813	811	560	882	952	968
BCO1_ENSG00000135697	2	3	0	0	2	0	1	2
MPHOSPH6_ENSG00000135698	746	780	786	744	681	927	781	747
CHST5_ENSG00000135702	0	3	1	1	1	0	0	0
KIAA0513_ENSG00000135709	313	422	306	414	241	340	324	374
DYNC1LI2_ENSG00000135720	1655	1610	1711	1676	1152	2068	1551	1658
FBXL8_ENSG00000135722	117	128	136	105	87	179	102	213
FHOD1_ENSG00000135723	727	680	753	780	587	878	721	1001
CCDC102A_ENSG00000135736	321	347	378	357	434	410	449	401
SLC9A5_ENSG00000135740	155	175	208	165	132	189	111	262
AGT_ENSG00000135744	42	31	41	22	18	45	3	8
ZNF670-ZNF695_ENSG00000135747	19	13	15	7	10	18	12	14
PCNX2_ENSG00000135749	1767	1900	2036	1584	1214	1930	1537	1458
KCNK1_ENSG00000135750	146	158	133	157	197	192	226	287
URB2_ENSG00000135763	2189	2257	2265	2330	1843	2789	3136	2467
EGLN1_ENSG00000135766	663	702	777	754	675	820	1157	1661
CAPN9_ENSG00000135773	1	7	3	7	2	3	3	16
COG2_ENSG00000135775	1170	1265	1320	1331	1056	1496	1332	1326
ABCB10_ENSG00000135776	2021	2034	1995	2249	1748	2632	2498	2488
NTPCR_ENSG00000135778	3296	3283	3576	3060	2772	3641	2742	2561
TAF5L_ENSG00000135801	2141	2174	2303	2265	1904	2710	2749	2442
GLUL_ENSG00000135821	6462	6796	7002	6746	5834	8488	7177	7389
STX6_ENSG00000135823	1068	1064	1223	1096	891	1271	1061	1118
